Sales doc.	SaTy	SOrg.	DChl	Dv	SOff.	SGrp	Created on	Time	Created by	Net value	Curr.
145453516	ZOR	HU01	1	1	HU01	E-P	02.08.2018	10:01:59	RSBATCH	76629,00	HUF
238188000	ZOR	HU01	1	1	HU01	PM	02.08.2018	11:38:48	E0654669	40755,00	HUF
145460798	ZOR	HU01	1	1	HU01	E-P	02.08.2018	13:10:10	RSBATCH	153636,00	HUF
145465624	ZOR	HU01	1	1	HU01	E-P	02.08.2018	14:50:12	RSBATCH	369376,00	HUF
145467066	ZOR	PL01	1	1	PL01	INT	02.08.2018	15:25:06	RSBATCH	994,75	PLN
145451380	ZOR	PL01	1	1	PL01	INT	02.08.2018	11:13:42	E0653640	97,85	PLN
145451193	ZOR	HU01	1	1	HU01	INT	02.08.2018	07:35:39	RSBATCH	112639,00	HUF
238180762	ZOR	PL01	1	1	PL01	E-M	02.08.2018	06:40:54	E0651686	698,69	PLN
145454612	ZOR	HU01	1	1	HU01	INT	02.08.2018	09:30:39	RSBATCH	44668,00	HUF
145454784	ZOR	PL01	1	1	PL01	INT	02.08.2018	09:35:18	RSBATCH	327,93	PLN
238178246	ZOR	HU01	1	1	HU01	E-M	02.08.2018	07:31:41	E0654669	8150,00	HUF
145457154	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	11:52:11	E0653803	635,18	CZK
238188008	ZOR	HU01	1	1	HU01	EDI	02.08.2018	11:53:41	E0654669	13839,00	HUF
145459429	ZOR	CZ01	1	1	CZ01	INT	02.08.2018	12:10:10	RSBATCH	5772,00	CZK
145459493	ZOR	PL01	1	1	PL01	PM	02.08.2018	12:10:10	RSBATCH	918,14	PLN
145461602	ZOR	PL01	1	1	PL01	E-M	02.08.2018	13:28:33	E0651686	1312,00	PLN
145454582	ZOR	PL01	1	1	PL01	INT	02.08.2018	09:30:39	RSBATCH	760,50	PLN
145457483	ZOR	PL01	1	1	PL01	INT	02.08.2018	12:40:46	E0653640	224,22	PLN
